music_id, song name, artist
1,All That You Are,Bear's Den
2,Alonica,LANY
3,And So I Grow,Eva Valery
4,Answer Phone,Tom Odell
5,Clown,Gyo Kretz
6,Choose,Joseph & Maia
7,Cesar - Acoustic Version,Rosa Butsi
8,Cat 13,Robin Kester
9,Butterflies (feat. AURORA),Tom Odell
10,Burning Bodies - Stipped Down Sessions,Sophie van Hasselt
11,Broken,Joshua Radin
12,Bring Back Tomorrows,Survivalkid
13,Apricity,Ruud Houweling
14,Autumn Love,Isaac Roux
15,Back,Blackbird
16,Before You Let Me Go,Declan J Donovan
17,Best Friends,Meskemer Mees
18,Big Jet Plane,Angus & Julia Stone
19,Boat,Ed Sheeran
20,Blind Spot,Maddie Zahm
21,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj
22,Best Day Of My Life,American Authors
23,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
24,Crazy What Love Can Do,David Guetta
25,Don't Start Now,Dua Lipa
26,Fancy Like,Walker Hayes
27,Heaven,Niall Horan
28,Hold Me Closer,Elton John
29,Kings & Queens,Ava Max
30,Love Lost,Mac Miller
31,Murder On The Dancefloor,Sophie Ellis-Bextor
32,Padam Padam,Kylie Minogue
33,Remember,Becky Hill
34,Rock My Body,R3HAB
35,Shivers,Ed Sheeran
36,So Am I,Ava Max
37,Summer of Love (Shawn Mendes & Tainy),Shawn Mendes
38,Sunshine,OneRepublic
39,Watermelon Sugar,Harry Styles
40,What A Man Gotta Do,Jonas Brothers
41,Anti-Hero,Taylor Swift
42,Waffle House,Jonas Brothers
43,Austin,Dasha
44,Big Energy,Latto
45,Bones,Imagine Dragons
46,Chemical,Post Malone
47,Cruel Summer,Taylor Swift
48,Feather,Sabrina Carpenter
49,Home,Good Neighbours
50,Last Night,Morgan Wallen
51,Lighter,Galantis
52,Lose Control,Teddy Swims
53,Modern Girl,Bleachers
54,My Universe,Coldplay
55,Nonsense,Sabrina Carpenter
56,Numb,Mashmello
57,Shivers,Ed Sheeran
58,Single Soon,Selena Gomez
59,SNAP,Rosa Linn
60,Unstoppable,Sia
61,All Out of Love,Air Supply
62,Another Love,Tom Odell
63,My Immortal,Evanescence
64,Impossible,James Arther
65,Be My Mistake,The 1975
66,Why,Bazzi
67,Unsteady,X Ambassadors
68,Creep,Radiohead
69,ceilings,Lizzy McAlpine
70,Better in Time,Leona Lewis
71,Hold On,Chord Overstreet
72,Mercy,Shawn Mendes
73,Lonely,Noah Cyrus
74,Heal,Tom Odell
75,Dynasty,MIIA
76,Fix You,Coldplay
77,Be Alright,Dean Lewis
78,Sorry,Halsey
79,traitor,Olivia Rodrigo
80,Arcade,Duncan Laurance
